year,month,day,hour,flow_cfs,Source
1990,2,17,6,2830,USGS_12189500
1990,2,17,12,2680,USGS_12189500
1990,2,17,18,2620,USGS_12189500
1990,2,18,0,2580,USGS_12189500
1990,2,18,6,2520,USGS_12189500
1990,2,18,12,2440,USGS_12189500
1990,2,18,18,2410,USGS_12189500
1990,2,19,0,2390,USGS_12189500
1990,2,19,6,2370,USGS_12189500
1990,2,19,12,2370,USGS_12189500
1990,2,19,18,2260,USGS_12189500
1990,2,20,0,2240,USGS_12189500
1990,2,20,6,2320,USGS_12189500
1990,2,20,12,2430,USGS_12189500
1990,2,20,18,2540,USGS_12189500
1990,2,21,0,2700,USGS_12189500
1990,2,21,6,2830,USGS_12189500
1990,2,21,12,2740,USGS_12189500
1990,2,21,18,2640,USGS_12189500
1990,2,22,0,2620,USGS_12189500
1990,2,22,6,2600,USGS_12189500
1990,2,22,12,2540,USGS_12189500
1990,2,22,18,2500,USGS_12189500
1990,2,23,0,2500,USGS_12189500
1990,2,23,6,2540,USGS_12189500
1990,2,23,12,2560,USGS_12189500
1990,2,23,18,2560,USGS_12189500
1990,2,24,0,2640,USGS_12189500
1990,2,24,6,2830,USGS_12189500
1990,2,24,12,3020,USGS_12189500
1990,2,24,18,3240,USGS_12189500
1990,2,25,0,3400,USGS_12189500
1990,2,25,6,3530,USGS_12189500
1990,2,25,12,3560,USGS_12189500
1990,2,25,18,3510,USGS_12189500
1990,2,26,0,3490,USGS_12189500
1990,2,26,6,3440,USGS_12189500
1990,2,26,12,3370,USGS_12189500
1990,2,26,18,3280,USGS_12189500
1990,2,27,0,3240,USGS_12189500
1990,2,27,6,3190,USGS_12189500
1990,2,27,12,3130,USGS_12189500
1990,2,27,18,3060,USGS_12189500
1990,2,28,0,3040,USGS_12189500
1990,2,28,6,3040,USGS_12189500
1990,2,28,12,3000,USGS_12189500
1990,2,28,18,2950,USGS_12189500
1990,3,1,0,2950,USGS_12189500
1990,3,1,6,2980,USGS_12189500
1990,3,1,12,2930,USGS_12189500
1990,3,1,18,2890,USGS_12189500
1990,3,2,0,2890,USGS_12189500
1990,3,2,6,2910,USGS_12189500
1990,3,2,12,2890,USGS_12189500
1990,3,2,18,2850,USGS_12189500
1990,3,3,0,2850,USGS_12189500
1990,3,3,6,2910,USGS_12189500
1990,3,3,12,2890,USGS_12189500
1990,3,3,18,2870,USGS_12189500
1990,3,4,0,2850,USGS_12189500
1990,3,4,6,2850,USGS_12189500
1990,3,4,12,2830,USGS_12189500
1990,3,4,18,2830,USGS_12189500
1990,3,5,0,2850,USGS_12189500
1990,3,5,6,2890,USGS_12189500
1990,3,5,12,2910,USGS_12189500
1990,3,5,18,2890,USGS_12189500
1990,3,6,0,2910,USGS_12189500
1990,3,6,6,2980,USGS_12189500
1990,3,6,12,3150,USGS_12189500
1990,3,6,18,3400,USGS_12189500
1990,3,7,0,3600,USGS_12189500
1990,3,7,6,3720,USGS_12189500
1990,3,7,12,3980,USGS_12189500
1990,3,7,18,4280,USGS_12189500
1990,3,8,0,4740,USGS_12189500
1990,3,8,6,4610,USGS_12189500
1990,3,8,12,4280,USGS_12189500
1990,3,8,18,4060,USGS_12189500
1990,3,9,0,3840,USGS_12189500
1990,3,9,6,3700,USGS_12189500
1990,3,9,12,3560,USGS_12189500
1990,3,9,18,3530,USGS_12189500
1990,3,10,0,3740,USGS_12189500
1990,3,10,6,4330,USGS_12189500
1990,3,10,12,4690,USGS_12189500
1990,3,10,18,4430,USGS_12189500
1990,3,11,0,4130,USGS_12189500
1990,3,11,6,3960,USGS_12189500
1990,3,11,12,3720,USGS_12189500
1990,3,11,18,3560,USGS_12189500
1990,3,12,0,3420,USGS_12189500
1990,3,12,6,3300,USGS_12189500
1990,3,12,12,3170,USGS_12189500
1990,3,12,18,3060,USGS_12189500
1990,3,13,0,3000,USGS_12189500
1990,3,13,6,2910,USGS_12189500
1990,3,13,12,2830,USGS_12189500
1990,3,13,18,2760,USGS_12189500
1990,3,14,0,2790,USGS_12189500
1990,3,14,6,2810,USGS_12189500
1990,3,14,12,2910,USGS_12189500
1990,3,14,18,2980,USGS_12189500
1990,3,15,0,3000,USGS_12189500
1990,3,15,6,2930,USGS_12189500
1990,3,15,12,2830,USGS_12189500
1990,3,15,18,2740,USGS_12189500
1990,3,16,0,2720,USGS_12189500
1990,3,16,6,2720,USGS_12189500
1990,3,16,12,2700,USGS_12189500
1990,3,16,18,2660,USGS_12189500
1990,3,17,0,2720,USGS_12189500
1990,3,17,6,2850,USGS_12189500
1990,3,17,12,2950,USGS_12189500
1990,3,17,18,3060,USGS_12189500
1990,3,18,0,3330,USGS_12189500
1990,3,18,6,3810,USGS_12189500
1990,3,18,12,3980,USGS_12189500
1990,3,18,18,3980,USGS_12189500
1990,3,19,0,4100,USGS_12189500
1990,3,19,6,4250,USGS_12189500
1990,3,19,12,4300,USGS_12189500
1990,3,19,18,4480,USGS_12189500
1990,3,20,0,4740,USGS_12189500
1990,3,20,6,4840,USGS_12189500
1990,3,20,12,4920,USGS_12189500
1990,3,20,18,5030,USGS_12189500
1990,3,21,0,5140,USGS_12189500
1990,3,21,6,5080,USGS_12189500
1990,3,21,12,4900,USGS_12189500
1990,3,21,18,4660,USGS_12189500
1990,3,22,0,4580,USGS_12189500
1990,3,22,6,4480,USGS_12189500
1990,3,22,12,4400,USGS_12189500
1990,3,22,18,4330,USGS_12189500
1990,3,23,0,4280,USGS_12189500
1990,3,23,6,4350,USGS_12189500
1990,3,23,12,4280,USGS_12189500
1990,3,23,18,4130,USGS_12189500
1990,3,24,0,4010,USGS_12189500
